"id","category","name","route","classification","new_ux_location","owning_module","roles","status"
"G01","Global & Authentication","Sign In","/screens/g01/sign-in","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G02","Global & Authentication","SSO / Enterprise Identity Sign In","/screens/g02/sso-enterprise-identity-sign-in","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G03","Global & Authentication","MFA Verification","/screens/g03/mfa-verification","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G04","Global & Authentication","Forgot Password","/screens/g04/forgot-password","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G05","Global & Authentication","Reset Password","/screens/g05/reset-password","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G06","Global & Authentication","First Login / Activate Account","/screens/g06/first-login-activate-account","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G07","Global & Authentication","Accept Terms / Privacy / Required Policies","/screens/g07/accept-terms-privacy-required-policies","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G08","Global & Authentication","Select Tenant / Organisation","/screens/g08/select-tenant-organisation","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G09","Global & Authentication","Select Location / Centre","/screens/g09/select-location-centre","MERGE","Guided workflow step, modal or inline action","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"G10","Global & Authentication","My Profile, Security & Sessions","/screens/g10/my-profile-security-sessions","REDESIGN","Role workspace or operational queue","Global & Authentication","Permission-derived workspace users","Existing route; redesign planned"
"SA01","Platform Super Admin","Platform Executive Dashboard","/screens/sa01/platform-executive-dashboard","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA02","Platform Super Admin","Tenant Health / Status Dashboard","/screens/sa02/tenant-health-status-dashboard","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA03","Platform Super Admin","Subscription / Revenue Dashboard","/screens/sa03/subscription-revenue-dashboard","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA04","Platform Super Admin","Platform Security & Operational Health","/screens/sa04/platform-security-operational-health","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA05","Platform Super Admin","Organisations / Tenants List","/screens/sa05/organisations-tenants-list","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA06","Platform Super Admin","Create Tenant Wizard","/screens/sa06/create-tenant-wizard","MERGE","Guided workflow step, modal or inline action","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA07","Platform Super Admin","Tenant Overview","/screens/sa07/tenant-overview","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA08","Platform Super Admin","Tenant Organisation Profile","/screens/sa08/tenant-organisation-profile","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA09","Platform Super Admin","Tenant Locations","/screens/sa09/tenant-locations","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA10","Platform Super Admin","Tenant Subscription","/screens/sa10/tenant-subscription","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA11","Platform Super Admin","Tenant Module Entitlements","/screens/sa11/tenant-module-entitlements","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA12","Platform Super Admin","Tenant Limits / Usage","/screens/sa12/tenant-limits-usage","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA13","Platform Super Admin","Tenant Branding & Domain","/screens/sa13/tenant-branding-domain","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA14","Platform Super Admin","Tenant Region / Data Residency","/screens/sa14/tenant-region-data-residency","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA15","Platform Super Admin","Tenant Country / Regulatory Profile","/screens/sa15/tenant-country-regulatory-profile","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA16","Platform Super Admin","Tenant Administrators","/screens/sa16/tenant-administrators","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA17","Platform Super Admin","Tenant Security Configuration","/screens/sa17/tenant-security-configuration","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA18","Platform Super Admin","Tenant Integration Configuration","/screens/sa18/tenant-integration-configuration","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA19","Platform Super Admin","Tenant Status / Suspend / Reactivate","/screens/sa19/tenant-status-suspend-reactivate","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA20","Platform Super Admin","Tenant Audit","/screens/sa20/tenant-audit","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA21","Platform Super Admin","Module Registry","/screens/sa21/module-registry","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA22","Platform Super Admin","Module Detail","/screens/sa22/module-detail","EMBED","Contextual detail, tab, drawer or review panel","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA23","Platform Super Admin","Permission Catalogue","/screens/sa23/permission-catalogue","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA24","Platform Super Admin","Subscription Plans / Packages","/screens/sa24/subscription-plans-packages","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA25","Platform Super Admin","Plan → Module Mapping","/screens/sa25/plan-module-mapping","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA26","Platform Super Admin","Feature / Limit Catalogue","/screens/sa26/feature-limit-catalogue","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA27","Platform Super Admin","Country / Regulatory Packs","/screens/sa27/country-regulatory-packs","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA28","Platform Super Admin","Country Pack Detail","/screens/sa28/country-pack-detail","EMBED","Contextual detail, tab, drawer or review panel","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA29","Platform Super Admin","Platform Users","/screens/sa29/platform-users","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA30","Platform Super Admin","Platform Roles / Permissions","/screens/sa30/platform-roles-permissions","REDESIGN","Role workspace or client journey surface","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA31","Platform Super Admin","Platform Audit Explorer","/screens/sa31/platform-audit-explorer","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"SA32","Platform Super Admin","Platform Configuration / Feature Flags","/screens/sa32/platform-configuration-feature-flags","REDESIGN","Role workspace or operational queue","Platform Super Admin","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA01","Tenant Administration","Tenant Administration Dashboard","/screens/ta01/tenant-administration-dashboard","REDESIGN","Role workspace or operational queue","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA02","Tenant Administration","Organisation Profile","/screens/ta02/organisation-profile","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA03","Tenant Administration","Subscription & Entitlements","/screens/ta03/subscription-entitlements","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA04","Tenant Administration","Usage / Limits","/screens/ta04/usage-limits","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA05","Tenant Administration","Locations / Centres","/screens/ta05/locations-centres","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA06","Tenant Administration","Add/Edit Location","/screens/ta06/add-edit-location","MERGE","Guided workflow step, modal or inline action","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA07","Tenant Administration","Facility Structure","/screens/ta07/facility-structure","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA08","Tenant Administration","Units / Wards","/screens/ta08/units-wards","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA09","Tenant Administration","Rooms","/screens/ta09/rooms","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA10","Tenant Administration","Beds","/screens/ta10/beds","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA11","Tenant Administration","Users","/screens/ta11/users","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA12","Tenant Administration","Add User","/screens/ta12/add-user","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA13","Tenant Administration","User Profile","/screens/ta13/user-profile","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA14","Tenant Administration","User Role Assignment","/screens/ta14/user-role-assignment","MERGE","Guided workflow step, modal or inline action","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA15","Tenant Administration","User Location Assignment","/screens/ta15/user-location-assignment","MERGE","Guided workflow step, modal or inline action","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA16","Tenant Administration","User Access Preview","/screens/ta16/user-access-preview","EMBED","Contextual detail, tab, drawer or review panel","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA17","Tenant Administration","Invite / Activation Status","/screens/ta17/invite-activation-status","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA18","Tenant Administration","Locked / Suspended Users","/screens/ta18/locked-suspended-users","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
"TA19","Tenant Administration","Active Sessions","/screens/ta19/active-sessions","REDESIGN","Role workspace or client journey surface","Tenant Administration","Permission-derived workspace users","UI-2 implemented as workspace/admin surface"
