id,category,name,route
G01,Global & Authentication,Sign In,/screens/g01/sign-in
G02,Global & Authentication,SSO / Enterprise Identity Sign In,/screens/g02/sso-enterprise-identity-sign-in
G03,Global & Authentication,MFA Verification,/screens/g03/mfa-verification
G04,Global & Authentication,Forgot Password,/screens/g04/forgot-password
G05,Global & Authentication,Reset Password,/screens/g05/reset-password
G06,Global & Authentication,First Login / Activate Account,/screens/g06/first-login-activate-account
G07,Global & Authentication,Accept Terms / Privacy / Required Policies,/screens/g07/accept-terms-privacy-required-policies
G08,Global & Authentication,Select Tenant / Organisation,/screens/g08/select-tenant-organisation
G09,Global & Authentication,Select Location / Centre,/screens/g09/select-location-centre
G10,Global & Authentication,"My Profile, Security & Sessions",/screens/g10/my-profile-security-sessions
SA01,Platform Super Admin,Platform Executive Dashboard,/screens/sa01/platform-executive-dashboard
SA02,Platform Super Admin,Tenant Health / Status Dashboard,/screens/sa02/tenant-health-status-dashboard
SA03,Platform Super Admin,Subscription / Revenue Dashboard,/screens/sa03/subscription-revenue-dashboard
SA04,Platform Super Admin,Platform Security & Operational Health,/screens/sa04/platform-security-operational-health
SA05,Platform Super Admin,Organisations / Tenants List,/screens/sa05/organisations-tenants-list
SA06,Platform Super Admin,Create Tenant Wizard,/screens/sa06/create-tenant-wizard
SA07,Platform Super Admin,Tenant Overview,/screens/sa07/tenant-overview
SA08,Platform Super Admin,Tenant Organisation Profile,/screens/sa08/tenant-organisation-profile
SA09,Platform Super Admin,Tenant Locations,/screens/sa09/tenant-locations
SA10,Platform Super Admin,Tenant Subscription,/screens/sa10/tenant-subscription
SA11,Platform Super Admin,Tenant Module Entitlements,/screens/sa11/tenant-module-entitlements
SA12,Platform Super Admin,Tenant Limits / Usage,/screens/sa12/tenant-limits-usage
SA13,Platform Super Admin,Tenant Branding & Domain,/screens/sa13/tenant-branding-domain
SA14,Platform Super Admin,Tenant Region / Data Residency,/screens/sa14/tenant-region-data-residency
SA15,Platform Super Admin,Tenant Country / Regulatory Profile,/screens/sa15/tenant-country-regulatory-profile
SA16,Platform Super Admin,Tenant Administrators,/screens/sa16/tenant-administrators
SA17,Platform Super Admin,Tenant Security Configuration,/screens/sa17/tenant-security-configuration
SA18,Platform Super Admin,Tenant Integration Configuration,/screens/sa18/tenant-integration-configuration
SA19,Platform Super Admin,Tenant Status / Suspend / Reactivate,/screens/sa19/tenant-status-suspend-reactivate
SA20,Platform Super Admin,Tenant Audit,/screens/sa20/tenant-audit
SA21,Platform Super Admin,Module Registry,/screens/sa21/module-registry
SA22,Platform Super Admin,Module Detail,/screens/sa22/module-detail
SA23,Platform Super Admin,Permission Catalogue,/screens/sa23/permission-catalogue
SA24,Platform Super Admin,Subscription Plans / Packages,/screens/sa24/subscription-plans-packages
SA25,Platform Super Admin,Plan → Module Mapping,/screens/sa25/plan-module-mapping
SA26,Platform Super Admin,Feature / Limit Catalogue,/screens/sa26/feature-limit-catalogue
SA27,Platform Super Admin,Country / Regulatory Packs,/screens/sa27/country-regulatory-packs
SA28,Platform Super Admin,Country Pack Detail,/screens/sa28/country-pack-detail
SA29,Platform Super Admin,Platform Users,/screens/sa29/platform-users
SA30,Platform Super Admin,Platform Roles / Permissions,/screens/sa30/platform-roles-permissions
SA31,Platform Super Admin,Platform Audit Explorer,/screens/sa31/platform-audit-explorer
SA32,Platform Super Admin,Platform Configuration / Feature Flags,/screens/sa32/platform-configuration-feature-flags
